country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,termination_date,recall_initiation_date,postal_code,voluntary_mandated,status,more_code_info
United States,Brookhaven,50 Horseblock Rd,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,,11258 bottles,06598004A 04/2020  06599001A 12/2020  06599002A 12/2020,20200424,Nationwide,NY,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",20200506,Class II,"Amneal Pharmaceuticals of New York, LLC",D-1253-2020,Press Release,Drugs,85386,20210908,20200415,11719-9509,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,,Lot #: 18229 9/21  18229 9/21  19056 03/22,20191115,U.S.A. Nationwide,NY,"CVS Health Redness Relief Lubricant Redness Reliever Eye Drops, Sterile, 1 fl. oz., (30 mL), Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0394-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,131 Executive Blvd,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,,7704 bottles,"Lot #: 1260-1, 1260-2, 1260-3, 1260-4. Exp. 04/2022",20220110,Nationwide in the USA,NY,"kleantouch HAND SANITIZER (ethyl alcohol 70%), 8.0 FL OZ (236 ML), pump bottles, Distributed by: Valisa MFG, LLC, Farmingdale, NY, 11735, Made in USA, UPC 6 86162 99246 1",20220105,Class I,Valisa MFG LLC,D-0363-2022,Letter,Drugs,89186,,20211206,11735-4719,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"39,744 units",17296 10/19   18094 04/20   18206 08/20,20191115,U.S.A. Nationwide,NY,"CVS Health Fast Acting Lubricant Eye Drops Dry Eye Therapy, Twin Pack Item#: 994881, Product Size: 2 x 10 mL, Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0403-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Ronkonkoma,2004 Orville Dr N Ste 2,CGMP deviations: Ibuprofen is being recalled in response to previous recall,,144 bottles,Lot#: HJ6138,20180309,NY,NY,"Ibuprofen Tablets USP, 200 mg, 100-count bottles, OTC, Distributed By: Spirit Pharmaceuticals, LLC Ronkonkoma, NY 11779, NDC 68210-0800-1",20180314,Class II,"Spirit Pharmaceuticals, LLC",D-0583-2018,Letter,Drugs,79361,20210120,20180110,11779-7645,Voluntary: Firm initiated,Terminated,
United States,Hauppauge,135 Adams Ave,Presence of Foreign Tablets/Capsules: Complaint involving one Women's Prenatal dietary supplement tablet commingled in a bottle of Extra Strength Acetaminophen 500 mg contents 1000 count bottle.,,"a) 1176 bottles b) 6,216 bottles","Lot #: 193005, Exp. Date 08/21",20200227,Nationwide within the United States,NY,"Major Extra Strength Acetaminophen Tablets, 500 mg Pain Reliever/Fever Reducer, packaged in a) 100-count bottles (NDC 0904-6730-60; UPC 3 09046 73060 6) and b) 1000-count bottles (NDC 0904-6730-80; UPC 3 09046 73080 4) Distributed by Major Pharmaceuticals 17177 N. Laurel Park Drive, Suite 233 Livonia, MI 45162 USA",20200219,Class II,Contract Pharmacal Corporation,D-0858-2020,Letter,Drugs,84857,,20200203,11788-3633,Voluntary: Firm initiated,Ongoing,
United States,Deer Park,13A Lucon Dr,Marketed Without An Approved NDA/ANDA: FDA analysis of this product found it to contain undeclared steroids and steroid-like substances making this an unapproved new drug.,,unknown,"lot numbers: F03Q, C02R",20131218,"Approximately 30% of all finished products were sold to customers in interstate to include but may not be limited to NY, NJ & CT via UPS.  Products are promoted and sold directly to customers at Healthy Life Chemistry's retail store at 13A Lucon Drive in Deer Park, NY, on the company website (www.purityfirst.com), and are available at the health food store, Total Health, located at 120 Rte 110, Farmingdale, NY (www.totaldiscountvitamins.com).",NY,"B-50 capsules, 100-count bottles, labeled in part as Healthy Life Chemistry, By Purity First, Manufactured for: Purity First Health Products, Inc. Healthy Life Chemistry 51 Florida Street, Farmingdale, NY 11735; 1-800-696-7017",20131225,Class I,Healthy Life Chemistry Inc dba Purity First,D-373-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,65842,20150511,20130731,11729-5711,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,259104 units,Lot #: 19137     05/22            19022     01/22,20191115,U.S.A. Nationwide,NY,"Equate Support Advanced Twin Pack  W-M item #: 567371433, Package Size: 2 x 15 mL, Distributed by: Wal-Mart Stores Inc., Bentonville, AR 72716, NDC 49035-885-49",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0369-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,222096 units,18043 2/20  18115 5/20  18300 12/20  18300 12/20  18116 5/20  18115 5/20  18044 2/20  18043 2/20,20191115,U.S.A. Nationwide,NY,"CVS Health Lubricant Eye Drops Multi-Symptom Eye Relief, Sterile, 0.5 fl. oz. (15 mL), Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0396-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"100,680 units",Lot #: 17222 07/19  17386 12/19  19018 01/21  18016 01/20  18181 07/20  18104 04/20  19018 1/21,20191115,U.S.A. Nationwide,NY,"CVS Health Lubricant Eye Drops for  Mild to Moderate Dry Eye, Sterile, 1 fl. oz., (30 mL), Distributed by: CVS Pharmacy, Inc., One CVS Drive, Woonsocket, RI 02895, Item #247887",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0375-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
