country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,termination_date,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status
United States,Port Washington,25 Harbor Park Dr,Possible leak from the filter allowing a small of amount of air to be released from the junction between the filter end cap (flat side of the filter) and the filter housing connection.,,"24,650 units domestically","REF BB50T: Lots 326902, 402802, 405002;   REF BB50T-BULK: Lots 228702, 229902, 328202",20140710,"Distributed in the states of MN, MO, OH, MA, NY, NJ, WY, AZ, CA, IL, LA, IN, CO, NC, and TX.",NY,"PALL Medical Breathing Circuit Filter, REF BB50T and BB50T-BULK , Rx ONLY Single use, bi-directional bacterial/viral removal filter.      The filters are individually packaged in a clear, plastic pouch with black writing - 50 per case, or in bulk packaged 100 filters/bag and two bags per shipper for a total of 200 filters/shipper.",20140716,Class II,Pall Corporation,Z-2038-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Devices,68424,20150401,,20140604,11050-4605,Voluntary: Firm Initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs","Item #: 1) RTL 10400, 2) RTL 10402",20160630,Nationwide Distribution,NY,"Universal Quick Adjust under the following labels: 1) Aluminum crutch, adult, 1 pair per case, 2) Aluminum crutch, tall adult, 1 pair per case    Aid the user in walking while relieving weight from one foot or leg.",20160706,Class II,Medical Depot Inc.,Z-2104-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Oyster Bay,21 Singworth St,The seal between the balloon and the housing may leak.,,72 units,Lot # 014603  USE BY: 9/2018,20160627,"US Distribution to the states of: CA, IN, MI, NY, PA, TX & VA",NY,"Bigger-Better-Bladder With 3/8"" ID tubing, ITEM BBB38",20160706,Class II,Circulatory Technology Inc,Z-2050-2016,Letter,Devices,73608,20170420,,20160303,11771-3703,Voluntary: Firm initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs",Item #: DS 10400,20160630,Nationwide Distribution,NY,"Direct Supply aluminum crutch, adult, 1 pair per case    Aid the user in walking while relieving weight from one foot or leg.",20160706,Class II,Medical Depot Inc.,Z-2106-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs",Item #: RTL 10433,20160630,Nationwide Distribution,NY,"Universal aluminum crutch, 1 pair per case    Aid the user in walking while relieving weight from one foot or leg.",20160706,Class II,Medical Depot Inc.,Z-2103-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,15 cases,Lot Numbers/Expiration Dates:  1) 1620888/Expiration Date: 12/30/2017  2) 1620367/Expiration Date: 09/01/2017,20180206,US Nationwide Distribution,NY,"Safety Deluxe Bone Marrow Biopsy/Aspiration Tray, Catalog # 986    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0546-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Ronkonkoma,2 Fleetwood Ct,Intact carton revealed presence of shredded burn sheets,,12095 cases/12 Packs per case/1 sheet,"Lot Numbers: JT13607, JT17507, JT35207, JT09008, JT11308, JT15408, JT18408, JT18708, JT23408, JT24508, JT26408, JT28408, JT31408, JT33508, JT00609, JT04809, JT15209, JT18209, JT19209, JT22409, JT22709, JT23209, JT25309, JT25809, JT27509, JT30109, JT31309, JT32909, JT17510, JT23610, JT24010, JT24810, JT30810, JT35910, JT00811, JT05011, JT07911, JT11511, JT15911, JT17011, JT18211, JT21511, JT26311, JT28411, JT30711, JT00812, JT07312, JT11812, JT13612, JT17712, JT21812, JT25612, JT33012, JT36112, JT36212, JT09113, JT17513, JT24713, JT29813, JT33513, JT01614, JT04614, JT06814",20171212,"Worldwide distribution - US Nationwide in the states of:  CA, CO, CT, FL, GA, IL, CO, NY, NV, IN, MD, MO, MD OH, TN, TX & WI; and country of  Canada",NY,"BLUE BURN SHEET, STERILE, 60"" x 96""; Item 7305, GAM item 30-01    Product Usage - May provide a sterile, barrier environment to protect patient from infection.",20171220,Class II,Dukal Corp.,Z-0233-2018,Letter,Devices,77673,20180719,,20170601,11779-6907,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,Covidien issued a labeling update for the Covidien Devon Light Gloves.  Busse had incorporated the affected gloves in several kits and distributed them prior to receipt of the recall notification.,,US: 14 cases,"Lot Number 1230783, Exp. Date February 2017;   Lot Number 1330825, Exp. Date April 2018",20161222,"PA, FL, VA",NY,"CARPAL TUNNEL PACK, Surgical Instrument Tray,  REF/Catalog No. 3366, STERILE, Rx Only -- busse Hospital Disposables Hauppauge, NY --- Device Listing # D190549.",20161228,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0894-2017,Letter,Devices,75746,20180621,,20161115,11788-3707,Voluntary: Firm initiated,Terminated
United States,Shirley,20 Ramsey Rd,"When deleting a previously entered custom isotope, the software deletes the isotope, but not the associated dial setting. Possible other stored custom isotopes may then have incorrect dial settings and may lead to an incorrect dose measurement and/or misadministration",,829 units,Serial Number range:17081557-21062362   UDI: 00718175003305,20210927,Nationwide Foreign: Austria Autralia Brazil CANADA Chile Colombia Croatia Cyprus Czech Republic Denmark Dominican Republic Ecuador Egypt France Hong Kong HUNGARY Iceland India Iraq Ireland ISRAEL Isreal Italy Japan JORDAN Kuwait Lebanon Libya Malaysia MALTA Mexico Morocco Netherlands New Zealand Oman Pakistan Palestine Panama Peru Philippines Poland Portugal PR Puerto Rico Qatar Romania Russia Saudi Arabia Singapore South Africa South Korea Spain Sweden Taiwan UAE United Arab Emirates United Kingdom Venezuela,NY,"Atomlab 500 Dose Calibrator Software 2.0.00 through Revision 2.0.08, inclusive Model: 086-330.",20211006,Class II,"Biodex Medical Systems, Inc.",Z-2580-2021,E-Mail,Devices,88604,,,20210816,11967-4704,Voluntary: Firm initiated,Ongoing
United States,Oyster Bay,21 Singworth St,The seal between the balloon and the housing may leak.,,20 units,Lot # 014648  USE BY: 09/01/2018,20160915,"US Distribution to states of: LA, MI, NY, OH, OR & TX.",NY,"The Bigger-Better-Bladder, TM 2 With 3/8""ID tubing, 72"" long tubing, ITEM BBB38-72    A device that isolates pressure tranducers from blood contact when measurements of blood pressure in extracorporeal circuits are made during short and long term procedures. The pressure signal can be used to control pump speed. It is also used as an inline reservoir to provide compliance in the circuit during short and long term procedures. Measures pressure noninvasively in the extracorporeal circuit and provide compliance in the venous line between the patient and the pump.",20160921,Class II,Circulatory Technology Inc,Z-2832-2016,Letter,Devices,74991,20180614,,20160701,11771-3703,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,Covidien issued a labeling update for the Covidien Devon Light Gloves.  Busse had incorporated the affected gloves in several kits and distributed them prior to receipt of the recall notification.,,US: 82 cases,"Lot Number 1530330, Exp. Date November 2017;   Lot Number 1530241, Exp. Date September 2017;   Lot Number 1530095, Exp. Date September 2017;   Lot Number 1431734, Exp. Date August 2017;   Lot Number 1431066, Exp. Date May 2017",20161222,"PA, FL, VA",NY,"SET UP PACK Surgical Instrument Tray, REF/Catalog No. 6250R1, STERILE, Rx Only --- busse Hospital Disposables Hauppauge, NY --- Device Listing # A343147",20161228,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0896-2017,Letter,Devices,75746,20180621,,20161115,11788-3707,Voluntary: Firm initiated,Terminated
United States,Oyster Bay,21 Singworth St,The device is used as part of extracorporeal membrane oxygenation (ECMO) cardiopulmonary bypass circuits and may collapse during use which can increase resistance to flow in the venous line and cause a drop in circuit blood flow.,,147 units,Lot Number: 5290-201001  UDI: (01)00851997007004(10)5290-201001(17)20231021(11)20201021,20210615,"US Nationwide distribution in the states of AL, AR, CA, DC, FL, GA, IN, MO, NC, PA, SC, TX.",NY,"The Better-Bladder (BB), part of extracorporeal membrane oxygenation (ECMO) cardiopulmonary bypass circuits.   Model: BB14",20210623,Class II,Circulatory Technology Inc.,Z-1862-2021,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Devices,88000,,,20210427,11771-3703,Voluntary: Firm initiated,Ongoing
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,470 cases,Lot Number/Expiration Date:   1) 1610300/Expiration Date 03/01/2019;   2) 1610503/Expiration Date 05/30/2019;   3) 1710059/Expiration Date: 09/30/2019;  4) 1610383/Expiration Date: 02/28/2019;   5) 1610463/Expiration Date: 05/30/2019;   6) 1610215/Expiration Date: 02/01/2019;   7) 1610114/Expiration Date: 11/01/2018;   8) 1610044/Expiration Date: 06/01/2018;,20180206,US Nationwide Distribution,NY,"Safety-Deluxe Lumbar Puncture Tray, Catalog # 974    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0540-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Oyster Bay,21 Singworth St,Twisted or wrinkled balloon components which are considered a cosmetic defect by the firm.,,958 units,"Lot Numbers: R19229, 015323, 014882, 014602 & 014601",20161007,"US Nationwide Distribution to states of: AL, AR, CA, Washington, D.C., FL, GA, IA, IL, IN, KY, LA, MI, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX & VA.",NY,"The Better-Bladder With 14"" ID tubing, ITEM BB14, STERILE,    Measure pressure noninvasively in the extracorporeal circuit and provide compliance in the venous line between the patient and the pump.",20161019,Class III,Circulatory Technology Inc,Z-0057-2017,Letter,Devices,74614,20170414,,20160701,11771-3703,Voluntary: Firm initiated,Terminated
United States,Shirley,20 Ramsey Rd,"When deleting a previously entered custom isotope, the software deletes the isotope, but not the associated dial setting. Possible other stored custom isotopes may then have incorrect dial settings and may lead to an incorrect dose measurement and/or misadministration",,429 units,Serial Number Range:17080651-21061047   UDI: 00718175003329,20210927,Nationwide Foreign: Austria Autralia Brazil CANADA Chile Colombia Croatia Cyprus Czech Republic Denmark Dominican Republic Ecuador Egypt France Hong Kong HUNGARY Iceland India Iraq Ireland ISRAEL Isreal Italy Japan JORDAN Kuwait Lebanon Libya Malaysia MALTA Mexico Morocco Netherlands New Zealand Oman Pakistan Palestine Panama Peru Philippines Poland Portugal PR Puerto Rico Qatar Romania Russia Saudi Arabia Singapore South Africa South Korea Spain Sweden Taiwan UAE United Arab Emirates United Kingdom Venezuela,NY,"AtomLab 500Plus Dose CalibratorSoftware 2.0.00 through Revision 2.0.08, inclusive Model: 086-332",20211006,Class II,"Biodex Medical Systems, Inc.",Z-2581-2021,E-Mail,Devices,88604,,,20210816,11967-4704,Voluntary: Firm initiated,Ongoing
United States,Hauppauge,89 Cabot Ct Ste F,"Item is marketed for use in patients weighing up to 350 lbs, but the device was only approved for use in patients up to 300 lbs",,18 units,"Serial Numbers: 005, 006, 011, 017, 019, 0701101, 07071003, 07071004, 08031005, 08081006, 08091007, 09061009, 09091010, 09101011, 09101012, 10021014, 10031015, 10091017, 10121019, 11051020, 11061021, 11071022, 11091023, 12011026, 12081028, 13021028, 12091029, 12091030, 12121032, 13011033, 13101034, 13071037, 13031035, 14011038, 14041036 and 14061038",20150605,"Worldwide Distribution - US including CA, FL, NJ, TX, WA,  Internationally: Korea, Russia, Kuwait, Canada, Greece, Lebanon, Turkey, Egypt, Saudi Arabia, China, Armenia, Azerbaijan, Australia.",NY,"Extentrac Elite User Manual DCN: 14-001 (Powered decompression table, for traction)",20150617,Class II,"Advanced Back Technologies, Inc.",Z-1718-2015,E-Mail,Devices,71058,20180523,,20150513,11788-3719,Voluntary: Firm initiated,Terminated
